CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
,"June 16, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,White,Unbecoming Conduct,Unfounded
,"August 20, 2020",2021,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,White,Neglect of Duty - Supervisory Duties,Sustained
"March 2, 2016","March 3, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Unauthorized Tactics,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,White,Neglect of Duty,Unfounded
,,,,,,,,,Unauthorized Force,Insufficient Evidence to Adjudicate
,,,,,,,,,Discourtesy - General,No Misconduct
,"March 4, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,White,Unbecoming Conduct,Unfounded
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,MALE,White,Neglect of Duty,Unfounded
,"March 9, 2016",2017,Public-Third Party,FEMALE,White,Sworn Employee,FEMALE,Asian,False Statements,Unfounded
,,,,,,,,,Search Violation,Unfounded
,,,,,,,MALE,Asian,Search Violation,Unfounded
,,,,,,,,,False Statements,Unfounded
,,,,,,,,Black,False Statements,Unfounded
,,,,,,,,,Search Violation,Unfounded
,,,,,,,,Hispanic,Search Violation,Unfounded
,,,,,,,,,False Statements,Unfounded
,"January 29, 2018",2018,Public-Third Party,FEMALE,UNKNOWN,Sworn Employee,MALE,Black,Unbecoming Conduct,Unfounded
"March 3, 2016","March 3, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,White,Search Violation,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,MALE,Black,Sworn Employee,MALE,White,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - Ethnic,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unbecoming Conduct,Exonerated
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,"March 4, 2016",2017,Public-Third Party,FEMALE,Black,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,"March 21, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,Hispanic,Detention Violation,Unfounded
,"July 5, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Not Resolved
,"July 20, 2016",2017,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Unauthorized Tactics,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,NULL,NULL,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
"February 19, 2016","March 3, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,White,Detention Violation,Unfounded
,,,,,,,MALE,Black,Detention Violation,Unfounded
,,,,,,,,Hispanic,Unauthorized Force,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,White,Unauthorized Force,Unfounded
,"March 10, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Exonerated
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Search Violation,Exonerated
,,,,,,,,White,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Exonerated
"March 4, 2016","March 4, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Discourtesy - General,Actions Could be Different
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,,Unbecoming Conduct,No Misconduct
,,,,,,,,,Unbecoming Conduct,Unfounded
,"November 8, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,Hispanic,Discourtesy - General,No Misconduct
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty,No Misconduct
,,,,,,,,,Neglect of Duty,Not Resolved
,,,Public-Third Party,FEMALE,NULL,Sworn Employee,FEMALE,Hispanic,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,,,MALE,Hispanic,Neglect of Duty,No Misconduct
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty,Not Resolved
,,,,,,,,,Neglect of Duty,Unfounded
"March 6, 2016","March 6, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,,Neglect of Duty,No Misconduct
,"March 7, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Black,Discourtesy - General,No Misconduct
,,,,,,,,White,Neglect of Duty,No Misconduct
,"March 9, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Hispanic,Detention Violation,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,"March 10, 2016",2017,Public-Person Involved,MALE,Asian,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Unfounded
,"March 11, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Actions Could be Different
,"March 16, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Asian,Detention Violation,Demonstrably False
,,,,,,,,Hispanic,Detention Violation,Demonstrably False
"February 29, 2016","March 6, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Black,Unauthorized Force,Unfounded
,,,,,,,,Hispanic,Unauthorized Force,Unfounded
"December 1, 2009","March 8, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,White,False Statements,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
"March 7, 2016","March 8, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,White,Unbecoming Conduct,Alternate Complaint Resolution
,,,,,,,,,Neglect of Duty,No Misconduct
,"March 9, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,Asian,Neglect of Duty,Sustained
,,,,,,,,,Unbecoming Conduct,Sustained
,,,,,,,,Black,Neglect of Duty,Sustained
,"April 13, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - Gender,Actions Could be Different
,,,,,,,,,Biased Policing,Unfounded
,"November 2, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Black,Neglect of Duty,Unfounded
"March 8, 2016","March 8, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,White,Neglect of Duty,Actions Could be Different
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,,,,,Unbecoming Conduct,Not Resolved
,"July 6, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
"March 9, 2016","March 9, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Discourtesy - Ethnic,Unfounded
,,,,,,,,White,Discourtesy - Ethnic,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,"March 10, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,Hispanic,Neglect of Duty,Demonstrably False
,,,,,,,,,Unbecoming Conduct,Demonstrably False
,,,Public-Third Party,MALE,White,Sworn Employee,MALE,Hispanic,Search Violation,Unfounded
,,,,,,,,,Neglect of Duty,Not Resolved
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,,,,,Biased Policing,Unfounded
,"March 19, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,White,Unbecoming Conduct,Sustained
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Unbecoming Conduct,Exonerated
"February 6, 2016","March 10, 2016",2017,Public-Person Involved,FEMALE,Other,Sworn Employee,MALE,Black,Other Policy/Rule,No Misconduct
,,,,,,,,,Unbecoming Conduct,Not Resolved
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Insubordination,Guilty
,,,,,,,,,False Statements,Guilty
,"May 10, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Asian,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,"August 17, 2016",2017,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,MALE,Hispanic,Neglect of Duty,No Misconduct
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,NULL,NULL,Sworn Employee,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,,Neglect of Duty,No Misconduct
,,,,,,,,,Unauthorized Force,Unfounded
"March 11, 2016","March 11, 2016",2017,Public-Person Involved,MALE,Filipino,Sworn Employee,MALE,Hispanic,Neglect of Duty,Unfounded
,"May 18, 2017",2018,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Asian,Neglect of Duty,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
"March 12, 2016","March 12, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Asian,Biased Policing,Not Resolved
,,,,,,,,Black,Discourtesy - General,No Misconduct
,,,,,,,,Hispanic,Biased Policing,Not Resolved
"March 13, 2016","March 13, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Black,Neglect of Duty,Actions Could be Different
,,,,,,,,,Unbecoming Conduct,Actions Could be Different
,,,,,,,,,Unbecoming Conduct,Sustained
,,,,NULL,NULL,Sworn Employee,MALE,Black,Unbecoming Conduct,Actions Could be Different
,,,,,,,,,Unbecoming Conduct,Sustained
,,,,,,,,,Neglect of Duty,Actions Could be Different
,"March 14, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Unauthorized Force,Unfounded
,,,,,,,MALE,Hispanic,Unauthorized Force,Unfounded
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,"March 16, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Asian,Unauthorized Force,Unfounded
"March 10, 2016","March 14, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Domestic Altercation,Guilty
,,,,,,,,,Domestic Altercation,Not Guilty
,"March 15, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Black,Neglect of Duty,Unfounded
,,,,,,,,Hispanic,Neglect of Duty,Unfounded
,,,,,,,MALE,White,Neglect of Duty,Unfounded
,"March 17, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,White,Detention Violation,No Misconduct
"March 14, 2016","March 15, 2016",2017,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,White,Biased Policing,Unfounded
,"March 16, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Unbecoming Conduct,No Misconduct
"March 15, 2016","March 16, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Unbecoming Conduct,No Misconduct
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,Hispanic,Sworn Employee,MALE,White,Unauthorized Force,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,"August 28, 2016",2017,Public-Person Involved,MALE,Asian,Sworn Employee,MALE,Black,Neglect of Duty,Demonstrably False
,,,,,,,,Hispanic,Neglect of Duty,Demonstrably False
,,,,,,,,White,Neglect of Duty,Demonstrably False
,,,,,,,,,Unbecoming Conduct,Actions Could be Different
,,,,,,,,,Unbecoming Conduct,Demonstrably False
"December 19, 2015","March 16, 2016",2017,Public-Person Involved,NULL,NULL,Sworn Employee,MALE,Black,Unauthorized Force,Unfounded
,,,,,,,,Hispanic,Unauthorized Force,Unfounded
,,,,,,,,White,Detention Violation,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unauthorized Force,Sustained
,,,,,,,,,Discourtesy - General,Unfounded
"March 16, 2016","March 16, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Neglect of Duty,Insufficient Evidence to Adjudicate
,,,,MALE,Black,Sworn Employee,FEMALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,White,Neglect of Duty,Unfounded
,,,,,,,,,Unbecoming Conduct,Insufficient Evidence to Adjudicate
,,,,,,,,,Discourtesy - General,Unfounded
,"March 17, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,"May 20, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,Asian,Unauthorized Tactics,Exonerated
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,MALE,Hispanic,Unauthorized Tactics,Exonerated
,,,,,,,,White,Unauthorized Tactics,Exonerated
"August 5, 2015","March 17, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Detention Violation,Exonerated
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,White,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Exonerated
"November 14, 2015","March 17, 2016",2017,Public-Person Involved,NULL,NULL,Sworn Employee,MALE,Black,Neglect of Duty,Actions Could be Different
,,,,,,,,Hispanic,Neglect of Duty,Actions Could be Different
,"May 19, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Neglect of Duty,Actions Could be Different
"March 17, 2016","March 18, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,White,Unauthorized Force,Unfounded
,"March 19, 2016",2017,Public-Third Party,FEMALE,Hispanic,Sworn Employee,MALE,White,Discourtesy - General,No Misconduct
,,,,,,,,,Unbecoming Conduct,No Misconduct
,"March 23, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Search Violation,Unfounded
,,,Public-Third Party,MALE,White,Sworn Employee,MALE,Hispanic,Search Violation,Unfounded
,"March 15, 2017",2018,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Other,Detention Violation,Unfounded
,,,,,,,MALE,Black,Detention Violation,Unfounded
,,,,,,,,Hispanic,Detention Violation,Unfounded
,,,,,,,,White,Detention Violation,Unfounded
,"April 11, 2018",2019,Public-Person Involved,MALE,White,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Unfounded
"December 1, 2015","March 18, 2016",2017,Public-Third Party,MALE,White,Sworn Employee,MALE,Black,Unbecoming Conduct,Unfounded
,"July 13, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Detention Violation,Unfounded
,,,,,,,,White,Detention Violation,Unfounded
,"December 3, 2016",2017,Public-Third Party,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Detention Violation,Unfounded
,,,,,,,,White,Detention Violation,Unfounded
,"April 19, 2017",2018,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Unbecoming Conduct,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,,Biased Policing,Unfounded
"March 19, 2016","March 19, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Discourtesy - General,No Misconduct
,,,,,,,,Black,Discourtesy - General,No Misconduct
,"March 21, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,White,Unauthorized Force,Insufficient Evidence to Adjudicate
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Neglect of Duty,No Misconduct
,,,,,White,Sworn Employee,MALE,White,Unauthorized Force,Insufficient Evidence to Adjudicate
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,No Misconduct
,"December 22, 2016",2018,Public-Person Involved,FEMALE,Asian,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,Black,Neglect of Duty,Unfounded
"October 12, 2015","March 21, 2016",2017,Public-Person Involved,FEMALE,Other,Sworn Employee,FEMALE,Hispanic,Unbecoming Conduct,Demonstrably False
,,,,,,,,,Unbecoming Conduct,Exonerated
,,,,,,,MALE,Hispanic,Neglect of Duty,Exonerated
,,,,,,,,,Unbecoming Conduct,Exonerated
,,,,,,,,White,Detention Violation,Unfounded
,,,,,,,,,Unbecoming Conduct,Exonerated
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,,,Unbecoming Conduct,Unfounded
"March 20, 2016","March 21, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,Hispanic,Neglect of Duty,Sustained
,"March 22, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,White,Neglect of Duty,No Misconduct
,"February 12, 2019",2020,Public-Third Party,FEMALE,Hispanic,Sworn Employee,FEMALE,White,Improper Remark,Unfounded
,,,,,,,,,Unequal Treatment Violation - Workplace,Unfounded
,,,,,,,MALE,White,Unequal Treatment Violation - Workplace,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,,Other Policy/Rule,Unfounded
"March 22, 2016","March 22, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,Hispanic,Discourtesy - General,Alternate Complaint Resolution
,,,,,,,MALE,Hispanic,Discourtesy - General,Alternate Complaint Resolution
,"March 24, 2016",2017,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,Hispanic,Neglect of Duty,Insufficient Evidence to Adjudicate
,,,,,,,,White,Neglect of Duty,Insufficient Evidence to Adjudicate
,,,,MALE,Black,Sworn Employee,MALE,White,Unbecoming Conduct,Exonerated
,,,,,,,,,Neglect of Duty,Exonerated
,"April 22, 2016",2017,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Asian,Neglect of Duty,Exonerated
,,,,,,,,White,Neglect of Duty,Exonerated
,"May 18, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
"March 4, 2015","March 22, 2016",2017,Public-Person Involved,FEMALE,Asian,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
"March 5, 2016","March 22, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Search Violation,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,Hispanic,Biased Policing,Unfounded
,,,,,,,,White,Biased Policing,Unfounded
"March 18, 2016","March 22, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Black,Biased Policing,Unfounded
,,,,,,,,Hispanic,Biased Policing,Unfounded
,"March 23, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Asian,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,Hispanic,Neglect of Duty,Unfounded
,"April 8, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Neglect of Duty,Actions Could be Different
,,,,,,,,White,Neglect of Duty,Actions Could be Different
,"May 18, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,White,Unbecoming Conduct,Unfounded
,,,,,,,,,Search Violation,Exonerated
,,,,,,,,,Neglect of Duty,No Misconduct
,,,,,,,,,Neglect of Duty,Exonerated
,,,,,,,,,Neglect of Duty,Demonstrably False
,,,,,,,,,Discourtesy - Ethnic,Demonstrably False
,,,,,,,,,Discourtesy - General,Demonstrably False
"December 9, 2009","March 23, 2016",2018,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Sexual Misconduct,Sustained
,,,,,,,,,Narcotics/Drugs,Sustained
,,,,,,,,White,Sexual Misconduct,Sustained
,,,,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
"March 23, 2016","March 23, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Unauthorized Force,Unfounded
,,,,,,,,,Discourtesy - General,Insufficient Evidence to Adjudicate
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,White,Neglect of Duty,Unfounded
,"March 24, 2016",2017,Public-Person Involved,MALE,Other,Sworn Employee,MALE,Asian,False Statements,Unfounded
,,,,,,,,,Search Violation,Unfounded
,,,,,,,,Black,Unauthorized Force,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - Ethnic,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,,Unbecoming Conduct,No Misconduct
,,,,,,,,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,White,Search Violation,Unfounded
,"March 30, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,No Misconduct
,,,,,,,,,Unbecoming Conduct,Unfounded
,"May 12, 2016",2017,Public-Person Involved,FEMALE,Asian,Sworn Employee,MALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,White,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Unfounded
"March 24, 2016","March 24, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,White,Unbecoming Conduct,No Misconduct
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,"March 30, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Unauthorized Tactics,Exonerated
,,,,,,,MALE,Hispanic,Discourtesy - General,No Misconduct
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,,Unauthorized Tactics,Exonerated
,,,,,,,,White,Discourtesy - General,No Misconduct
,"April 4, 2016",2017,Public-Person Involved,MALE,White,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,No Misconduct
,,,,,,,,,Unauthorized Tactics,Unfounded
,"April 7, 2016",2017,Public-Person Involved,NULL,NULL,Sworn Employee,MALE,White,Discourtesy - General,No Misconduct
"March 25, 2016","March 25, 2016",2017,Public-Person Involved,MALE,NULL,Sworn Employee,MALE,Hispanic,Neglect of Duty,No Misconduct
,,,,,,,,,Other Policy/Rule,No Misconduct
,"March 26, 2016",2017,Public-Person Involved,FEMALE,American Indin,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,White,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,Asian,Sworn Employee,MALE,Hispanic,Neglect of Duty,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,White,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,Black,Sworn Employee,FEMALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,MALE,Hispanic,Biased Policing,Unfounded
,"March 29, 2016",2017,Public-Person Involved,MALE,UNKNOWN,Sworn Employee,MALE,Black,Unbecoming Conduct,Unfounded
,,,,,,,,White,Unbecoming Conduct,Unfounded
,"April 5, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Black,Discourtesy - General,Demonstrably False
,"April 29, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Black,Neglect of Duty,Exonerated
,,,,,,,MALE,Asian,Neglect of Duty,Exonerated
"March 26, 2016","March 27, 2016",2017,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Black,Neglect of Duty,Sustained
,,,,,,,,Hispanic,Neglect of Duty,Actions Could be Different
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Unauthorized Tactics,Unfounded
,"March 29, 2016",2017,Public-Person Involved,FEMALE,NULL,Sworn Employee,MALE,American Indin,Discourtesy - General,Sustained
,"April 1, 2016",2017,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,White,Detention Violation,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,MALE,White,Detention Violation,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,"April 3, 2016",2017,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Search Violation,Unfounded
,,,,,,,,,Unbecoming Conduct,Unfounded
"October 13, 2015","March 28, 2016",2018,Public-Third Party,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Sustained
"March 28, 2016","March 28, 2016",2017,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Unbecoming Conduct,Exonerated
,,,,,,,,,Unbecoming Conduct,Unfounded
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,MALE,Black,Sworn Employee,MALE,White,Unauthorized Tactics,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,,,Public-Third Party,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Detention Violation,Unfounded
,,,,,,,,,Unbecoming Conduct,Exonerated
,,,,,,,,White,Detention Violation,Unfounded
,,,,,,,,,Unbecoming Conduct,Exonerated
,"April 2, 2016",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,American Indin,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,White,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,NULL,White,Sworn Employee,MALE,American Indin,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
,,,,,,,,White,Discourtesy - General,Unfounded
,,,,,,,,,Neglect of Duty,Unfounded
"March 19, 2014","March 29, 2016",2017,Public-Person Involved,MALE,Other,Sworn Employee,MALE,White,Unbecoming Conduct,Unfounded
